order_id,order_date,region,category,channel,units_sold,unit_price,revenue,discount_pct,customer_rating
ORD-1000,2025-05-08,South,Furniture,Partner,62,177.02,10975.24,0.036,4.4
ORD-1001,2025-01-01,North,Furniture,Online,49,1466.32,71849.68,0.177,2.6
ORD-1002,2025-12-18,West,Furniture,Retail,106,1752.52,185767.12,0.206,4.5
ORD-1003,2025-03-23,West,Stationery,Retail,8,1850.08,14800.64,0.054,4.9
ORD-1004,2025-07-04,East,Stationery,Partner,177,353.04,62488.08,0.093,2.6
ORD-1005,2025-07-03,East,Stationery,Partner,240,1342.6,322224.0,0.067,2.7
ORD-1006,2025-02-28,South,Electronics,Retail,121,1882.6,227794.6,0.097,4.1
ORD-1007,2025-06-07,East,Electronics,Partner,191,490.85,93752.35,0.222,3.8
ORD-1008,2025-07-09,South,Stationery,Online,130,492.56,64032.8,0.08,2.6
ORD-1009,2025-02-07,East,Furniture,Partner,166,1034.66,171753.56,0.175,4.7
ORD-1010,2025-03-08,East,Apparel,Partner,239,445.75,106534.25,0.14,3.0
ORD-1011,2025-02-25,North,Electronics,Online,75,1281.72,96129.0,0.22,4.5
ORD-1012,2025-07-13,West,Stationery,Partner,221,1479.81,327038.01,0.301,2.5
ORD-1013,2025-09-25,East,Stationery,Online,63,1674.3,105480.9,0.103,2.9
ORD-1014,2025-12-09,South,Electronics,Partner,6,2294.7,13768.2,0.104,4.1
ORD-1015,2025-03-18,North,Stationery,Retail,106,468.47,49657.82,0.007,4.8
ORD-1016,2025-04-19,North,Electronics,Partner,162,665.95,107883.9,0.17,2.7
ORD-1017,2025-08-18,South,Stationery,Partner,69,412.73,28478.37,0.305,3.6
ORD-1018,2025-12-23,South,Stationery,Retail,113,2237.92,252884.96,0.348,4.1
ORD-1019,2025-08-04,South,Furniture,Online,229,2171.12,497186.48,0.118,4.0
ORD-1020,2025-01-03,North,Furniture,Online,122,1461.64,178320.08,0.317,4.6
ORD-1021,2025-05-22,West,Furniture,Partner,41,1292.28,52983.48,0.046,4.8
ORD-1022,2025-08-26,West,Furniture,Online,247,674.03,166485.41,0.034,3.6
ORD-1023,2025-12-02,North,Electronics,Retail,221,1057.31,233665.51,0.255,4.5
ORD-1024,2025-04-18,West,Furniture,Retail,60,686.94,41216.4,0.064,3.7
ORD-1025,2025-09-04,North,Electronics,Online,43,1130.34,48604.62,0.324,4.6
ORD-1026,2025-08-07,West,Electronics,Online,90,1046.62,94195.8,0.133,5.0
ORD-1027,2025-08-10,West,Apparel,Online,140,2232.46,312544.4,0.066,3.0
ORD-1028,2025-09-02,East,Electronics,Online,34,1440.53,48978.02,0.204,3.8
ORD-1029,2025-09-03,South,Electronics,Partner,85,249.69,21223.65,0.024,4.7
ORD-1030,2025-10-08,North,Electronics,Retail,211,393.34,82994.74,0.23,3.9
ORD-1031,2025-04-22,East,Furniture,Retail,166,2251.13,373687.58,0.139,4.2
ORD-1032,2025-02-01,West,Electronics,Online,158,1162.47,183670.26,0.188,3.8
ORD-1033,2025-02-08,East,Stationery,Online,72,2247.83,161843.76,0.153,3.9
ORD-1034,2025-11-17,North,Stationery,Partner,159,1514.63,240826.17,0.036,4.7
ORD-1035,2025-02-24,South,Stationery,Retail,140,383.18,53645.2,0.212,4.3
ORD-1036,2025-05-17,West,Stationery,Online,109,1687.49,183936.41,0.032,3.6
ORD-1037,2025-06-25,South,Stationery,Online,146,220.52,32195.92,0.259,3.9
ORD-1038,2025-02-03,South,Electronics,Retail,223,1398.87,311948.01,0.204,2.9
ORD-1039,2025-06-26,North,Stationery,Online,70,215.37,15075.9,0.239,4.2
ORD-1040,2025-07-20,South,Furniture,Online,186,1898.67,353152.62,0.342,4.5
ORD-1041,2025-12-11,West,Furniture,Retail,216,176.51,38126.16,0.056,4.3
ORD-1042,2025-08-08,South,Apparel,Retail,200,2108.54,421708.0,0.107,4.5
ORD-1043,2025-11-07,West,Stationery,Retail,121,628.27,76020.67,0.303,4.9
ORD-1044,2025-09-13,East,Electronics,Online,147,920.61,135329.67,0.307,3.2
ORD-1045,2025-10-14,East,Stationery,Retail,140,207.23,29012.2,0.212,3.8
ORD-1046,2025-04-09,North,Apparel,Online,202,2170.87,438515.74,0.182,4.5
ORD-1047,2025-02-22,East,Stationery,Partner,105,950.42,99794.1,0.297,4.3
ORD-1048,2025-11-14,East,Apparel,Partner,158,1276.24,201645.92,0.103,2.8
ORD-1049,2025-07-22,South,Stationery,Retail,220,1636.04,359928.8,0.192,2.5
ORD-1050,2025-10-20,East,Apparel,Retail,151,599.22,90482.22,0.155,3.0
ORD-1051,2025-12-06,North,Stationery,Partner,247,1929.72,476640.84,0.232,4.0
ORD-1052,2025-04-22,East,Furniture,Online,52,1986.01,103272.52,0.052,2.6
